date,USD,JPY,BGN,CZK,DKK,GBP,HUF,LTL,LVL,PLN,RON,SEK,CHF,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,EUR,AED,AFN,ALL,ANG,ARS,BAM,BBD,BDT,BHD,BIF,BND,BOB,BSD,BWP,BYR,BZD,CLP,COP,CRC,CUP,CVE,DJF,DOP,DZD,EGP,ETB,FJD,GHS,GMD,GNF,GTQ,HNL,HTG,IQD,IRR,ISK,JMD,JOD,KES,KHR,KWD,KYD,KZT,LAK,LBP,LKR,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MOP,MRO,MUR,MVR,MWK,NAD,NGN,NIO,NPR,OMR,PAB,PEN,PGK,PKR,PYG,QAR,RSD,RWF,SAR,SCR,SDG,SOS,STD,SVC,SYP,SZL,TND,TTD,TWD,TZS,UAH,UGX,UYU,UZS,VEF,VND,XAF,XCD,XOF,XPF
2012-01-01,1.2956,100.587,1.9459,25.724,7.4329,0.8404,310.02,3.4521,0.6971,4.4055,4.312,8.926,1.2181,7.7656,7.5203,40.4684,2.4806,1.2773,2.4145,1.3217,8.1734,10.067,11441.7998,4.9321,68.709,1496.86,18.092,4.1117,1.6775,56.625,1.6825,41.115,10.5819,1,4.7542,54.23,136.21,2.2227,5.569,1.9458,2.523,103.494,0.4852,1680.47,1.6538,8.6897,1.2795,9.5421,10692,2.5043,660.062,2446.1001,632.72,1.257,106.84,220.51,48.827,97.879,7.785,21.9987,2.347,2.0881,35.534,9217.7998,9.8559,23.918,50.91,1471.73,14120.2002,158.69,109.071,0.9092,107.99,5089.1001,0.3596,1.0414,187.59,10072.9004,1942,147.31,10.309,1.5461,10.816,14.7434,2828.54,61.22,8.1086,10.1016,364.95,36.41,19.768,206.96,10.309,205.73,29.047,107.537,0.4971,1.2609,3.389,2.6284,116.11,5575.6001,4.7118,104.573,760.76,4.8517,16.548,3.3938,2050.6001,23810.5,11.014,68.264,10.3384,1.9398,8.0772,37.9514,2009.1,10.197,3168,25.001,2274.27,5.5562,26646,642.957,3.8784,642.957,116.86
2012-01-02,1.296,99.61,1.9482,25.445,7.4131,0.8331,308.4,3.4511,0.6958,4.45,4.3121,8.91,1.2148,7.7367,7.5138,40.6868,2.4319,1.2692,2.4133,1.3233,8.1532,10.049,11500.5996,4.9374,68.693,1502.52,18.091,4.1088,1.6624,56.728,1.6792,40.905,10.464,1,4.7629,54.54,136.39,2.2227,5.5795,1.9458,2.5374,104.063,0.4861,1646.6899,1.6563,8.7395,1.2867,9.5161,10752,2.5186,657.883,2457.8,636.34,1.264,109.06,221.77,49.137,98.092,7.804,22.1232,2.3779,2.096,35.736,9483.4004,9.907,24.054,51.201,1480.14,14203.9004,158.4,109.562,0.9135,108.46,5116.7998,0.3607,1.0473,189.1,10130.5996,1907.7,147.63,10.2463,1.5984,10.823,14.8848,2854.3601,61.441,8.155,10.1541,367.03,36.64,19.734,208.309,10.2463,206.84,29.218,108.226,0.498,1.2682,3.4085,2.6436,116.36,5607.6001,4.7188,105.822,763.16,4.8588,16.58,3.4131,2062.3,24146.1992,11.077,68.654,10.277,1.9374,8.1556,38.1797,2017.9301,10.2225,3164.7,25.145,2287.1899,5.5646,26812,642.957,3.8784,642.957,116.86
2012-01-03,1.2941,99.532,1.9483,25.48,7.433,0.8336,313.92,3.4521,0.6972,4.4634,4.3225,8.923,1.2155,7.7384,7.5166,40.699,2.4458,1.2619,2.4164,1.3162,8.123,10.0484,11528.5996,4.9382,68.794,1491.36,18.011,4.0948,1.6561,56.635,1.6774,40.7,10.4329,1,4.7437,55.13,135.87,2.2227,5.5566,1.9458,2.54,104.17,0.4841,1692.41,1.6553,8.7485,1.288,9.5331,10763,2.5212,659.206,2460.3999,640.88,1.265,108.33,222,49.187,97.596,7.775,22.1457,2.3376,2.0982,35.773,9282.5996,9.9172,24.079,51.253,1481.65,14257.2002,158.3,109.674,0.8982,107.87,5120.7998,0.3591,1.0484,189.29,10139.7998,1909.6,147.02,10.2409,1.5565,10.817,14.9001,2850.8,61.183,8.1633,10.16,367.55,36.65,19.734,207.797,10.2409,207.11,29.251,108.362,0.4962,1.2698,3.412,2.6463,116.36,5613.2998,4.7004,105.856,765.89,4.8412,16.515,3.4166,2077.3,24144.9004,11.089,68.724,10.2714,1.9379,8.1639,38.254,2018.6899,10.233,3153.7,25.171,2289.53,5.5444,26839,642.957,3.8784,642.957,116.86
2012-01-04,1.3056,100.146,1.9456,25.69,7.4361,0.8342,315.82,3.4521,0.6973,4.4617,4.3232,8.898,1.2164,7.7162,7.5345,40.3905,2.4445,1.2585,2.3918,1.3198,8.2079,10.1376,11905,4.9872,69.235,1494.36,17.858,4.1088,1.6515,57.005,1.6758,40.86,10.513,1,4.7949,55.54,136.43,2.2227,5.6184,1.9458,2.559,105.162,0.4892,1705.03,1.6485,8.8141,1.2975,9.5461,10843,2.5401,657.883,2478.6001,645.69,1.275,109.53,223.66,49.554,98.267,7.852,22.31,2.3746,2.1339,36.041,9351.2998,9.9914,24.259,51.637,1492.74,14365,158.56,110.491,0.9174,109.59,5191.7002,0.362,1.0562,190.71,10209.5,1963,148.47,10.2432,1.5681,10.7925,14.9415,2860.3401,61.211,8.2245,10.2393,370.59,36.88,19.734,210.003,10.2432,205.92,29.481,109.535,0.5012,1.2794,3.4389,2.6997,116.31,5655.5,4.7509,106.854,771.61,4.8976,16.631,3.442,2092.8999,24422.5,11.172,69.239,10.2738,1.9435,8.2249,38.5153,2041.55,10.309,3141.8999,25.36,2306.5801,5.6162,27035,642.957,3.8784,642.957,116.86
2012-01-05,1.2931,99.19,1.9454,25.877,7.4363,0.8284,320.38,3.4521,0.6972,4.4908,4.3303,8.8471,1.2183,7.6867,7.5352,40.237,2.4277,1.2502,2.3516,1.3104,8.1315,10.0424,11764,4.9716,68.271,1483.38,17.707,4.0514,1.6432,56.417,1.6655,40.68,10.5119,1,4.7476,54.71,136.24,2.2227,5.5606,1.9458,2.5455,104.648,0.4844,1693.47,1.65,8.7675,1.2908,9.561,10851,2.5267,652.589,2424.8,642.27,1.268,108.08,222.48,49.293,97.533,7.779,22.1933,2.3255,2.1241,37.726,9302.5,9.9348,24.131,51.364,1484.86,14288,158.52,109.91,0.9072,111.7,5166.8999,0.3585,1.0506,189.27,10152.7998,1913.8,147.01,10.3124,1.5599,10.817,14.9139,2869.9399,61.01,8.181,10.1839,369.35,36.4,19.734,209.48,10.3124,204.45,29.33,108.193,0.4964,1.2722,3.4174,2.6372,116.31,5703.3999,4.7055,105.515,765.6,4.8452,16.7,3.4239,2081.8,24086.5996,11.113,68.873,10.3429,1.9339,8.1816,38.3017,2029.53,10.3004,3142.3,25.225,2294.46,5.5474,26893,642.957,3.8784,642.957,116.86
2012-01-06,1.2796,98.707,1.9459,25.837,7.4361,0.8252,318.78,3.4521,0.6963,4.5083,4.3445,8.8513,1.2182,7.6903,7.5311,40.1522,2.4045,1.2471,2.3484,1.3041,8.0475,9.9319,11660,4.9147,67.464,1475.72,17.569,4.02,1.6377,56.08,1.652,40.38,10.4628,1,4.6927,54.64,136.01,2.2227,5.5013,1.9458,2.5178,102.902,0.4788,1675.09,1.6344,8.6717,1.2769,9.5371,10786,2.4992,644.833,2371.3999,639.76,1.254,107.58,220.05,48.868,96.804,7.697,21.9538,2.3031,2.08,37.348,9199,9.8382,23.907,50.805,1468.5699,14132.9004,157.83,108.718,0.8986,109.17,5084.3999,0.3556,1.0392,187.3,10063.5996,1922,145.37,10.3084,1.5429,10.782,14.7503,2836.8501,60.34,8.0919,10.0706,364.93,36.32,19.541,206.56,10.298,201.85,29.016,106.571,0.4907,1.2585,3.3788,2.6082,117.52,5654,4.6489,104.915,759.19,4.7872,16.387,3.3869,2059.2,23973.5,10.992,68.123,10.3386,1.9317,8.0926,37.838,2017.8199,10.1793,3107,24.564,2269.6001,5.4833,26602,642.957,3.8784,642.957,116.86
2012-01-07,1.2796,98.707,1.9459,25.837,7.4361,0.8252,318.78,3.4521,0.6963,4.5083,4.3445,8.8513,1.2182,7.6903,7.5311,40.1522,2.4045,1.2471,2.3484,1.3041,8.0475,9.9319,11660,4.9147,67.464,1475.72,17.569,4.02,1.6377,56.08,1.652,40.38,10.4628,1,4.6927,54.64,136.01,2.2227,5.5013,1.9458,2.5178,102.902,0.4788,1675.09,1.6344,8.6717,1.2769,9.5371,10786,2.4992,644.833,2371.3999,639.76,1.254,107.58,220.05,48.868,96.804,7.697,21.9538,2.3031,2.08,37.348,9199,9.8382,23.907,50.805,1468.5699,14132.9004,157.83,108.718,0.8986,109.17,5084.3999,0.3556,1.0392,187.3,10063.5996,1922,145.37,10.3084,1.5429,10.782,14.7503,2836.8501,60.34,8.0919,10.0706,364.93,36.32,19.541,206.56,10.298,201.85,29.016,106.571,0.4907,1.2585,3.3788,2.6082,117.52,5654,4.6489,104.915,759.19,4.7872,16.387,3.3869,2059.2,23973.5,10.992,68.123,10.3386,1.9317,8.0926,37.838,2017.8199,10.1793,3107,24.564,2269.6001,5.4833,26602,642.957,3.8784,642.957,116.86
2012-01-08,1.2796,98.707,1.9459,25.837,7.4361,0.8252,318.78,3.4521,0.6963,4.5083,4.3445,8.8513,1.2182,7.6903,7.5311,40.1522,2.4045,1.2471,2.3484,1.3041,8.0475,9.9319,11660,4.9147,67.464,1475.72,17.569,4.02,1.6377,56.08,1.652,40.38,10.4628,1,4.6927,54.64,136.01,2.2227,5.5013,1.9458,2.5178,102.902,0.4788,1675.09,1.6344,8.6717,1.2769,9.5371,10786,2.4992,644.833,2371.3999,639.76,1.254,107.58,220.05,48.868,96.804,7.697,21.9538,2.3031,2.08,37.348,9199,9.8382,23.907,50.805,1468.5699,14132.9004,157.83,108.718,0.8986,109.17,5084.3999,0.3556,1.0392,187.3,10063.5996,1922,145.37,10.3084,1.5429,10.782,14.7503,2836.8501,60.34,8.0919,10.0706,364.93,36.32,19.541,206.56,10.298,201.85,29.016,106.571,0.4907,1.2585,3.3788,2.6082,117.52,5654,4.6489,104.915,759.19,4.7872,16.387,3.3869,2059.2,23973.5,10.992,68.123,10.3386,1.9317,8.0926,37.838,2017.8199,10.1793,3107,24.564,2269.6001,5.4833,26602,642.957,3.8784,642.957,116.86
2012-01-09,1.268,97.501,1.948,25.861,7.4342,0.8222,314.97,3.4516,0.6957,4.4838,4.353,8.8227,1.2152,7.6523,7.5328,39.9232,2.3832,1.2425,2.3507,1.3044,8.0222,9.8444,11525,4.8642,66.955,1475.36,17.453,4.0007,1.6256,55.998,1.6434,40.325,10.3619,1,4.6725,54,135.71,2.2227,5.4907,1.9458,2.5095,102.564,0.4765,1670.87,1.628,8.6431,1.2728,9.4767,10764,2.4909,636.049,2354.5,640.72,1.25,108.44,219.33,48.707,96.332,7.652,21.882,2.2871,2.0975,37.225,9172.2002,9.8377,23.828,50.638,1463.72,14083.2002,157.78,108.425,0.8939,108.76,5100.8999,0.3543,1.0358,186.83,10016.7998,1886.7,144.71,10.2249,1.5378,10.77,14.7278,2853.1101,60.046,8.0652,10.0374,364.13,36.18,19.424,206.519,10.219,203.36,28.924,106.196,0.4884,1.2543,3.3689,2.5995,115.35,5692.8999,4.63,104.609,756.69,4.7673,16.186,3.3758,2052.3999,23894.9004,10.955,67.898,10.2556,1.9321,8.066,37.6907,2006.08,10.1428,3094.2,24.483,2262.1499,5.4589,26518,642.957,3.8784,642.957,116.86
2012-01-10,1.2776,98.17,1.9452,25.743,7.4355,0.8263,315.6,3.4521,0.6962,4.4829,4.348,8.8046,1.2108,7.6559,7.5304,39.7239,2.3864,1.2454,2.3423,1.3057,8.038,9.9169,11650,4.9014,66.871,1476.67,17.494,4.0142,1.6194,55.989,1.6533,40.44,10.4236,1,4.68,53.8,135.62,2.2227,5.4962,1.9458,2.503,102.299,0.4776,1667.1899,1.6293,8.6206,1.2695,9.4522,10762,2.4845,637.334,2351.1001,640.97,1.247,108.16,218.76,48.601,96.74,7.668,21.8258,2.3177,2.0921,37.639,9148.7002,9.8352,23.785,50.507,1459.9301,14131.7002,157.68,108.209,0.8944,108.96,5044.2998,0.355,1.0331,186.66,9996.5,1913,144.85,10.1786,1.5338,10.7527,14.7576,2834.8899,60.08,8.0443,10.0094,364.46,36.22,19.491,205.474,10.1786,203.92,28.853,105.513,0.4893,1.2515,3.3589,2.595,115.25,5678.1001,4.6369,103.464,754.73,4.7746,16.267,3.3671,2047.1,24237.3008,10.927,67.722,10.2086,1.9299,8.0451,37.5471,1995.8101,10.1167,3088.8,24.419,2256.3201,5.4672,26451,642.957,3.8784,642.957,116.86
2012-01-11,1.2752,98.005,1.9459,25.774,7.4365,0.8241,310.17,3.4521,0.6962,4.4535,4.3603,8.8058,1.2123,7.6581,7.5316,39.5134,2.3822,1.2379,2.3038,1.2972,8.0643,9.9024,11685,4.8872,65.892,1474.17,17.409,4.0069,1.6061,55.939,1.6444,40.36,10.3355,1,4.6932,55.22,135.53,2.2227,5.5074,1.9458,2.5037,103.636,0.479,1665.74,1.6219,8.623,1.2699,9.4188,10765,2.4852,637.13,2351.1001,639.24,1.247,108.13,218.82,48.614,96.881,7.689,21.8318,2.3245,2.0978,37.107,9148,9.829,23.792,50.521,1460.34,14130.5,157.9,108.303,0.8859,109.54,5090.3999,0.3562,1.0334,186.7,9994.2002,1921,145.35,10.1087,1.5343,10.781,14.8096,2826.1001,60.994,8.0465,10.0161,362.94,36.19,19.537,205.557,10.1087,203.91,28.873,103.934,0.4907,1.2514,3.3566,2.5968,114.76,5686.1001,4.6503,103.663,754.94,4.789,16.677,3.368,2047.6,24244,10.93,67.741,10.1355,1.9369,8.0474,37.3508,1994.45,10.1265,3090.3,24.426,2263.47,5.4836,26437,642.957,3.8784,642.957,116.86
2012-01-12,1.2724,97.777,1.9485,25.823,7.4357,0.8295,310.94,3.4521,0.6962,4.4626,4.3571,8.8121,1.2127,7.6779,7.5367,39.3603,2.3599,1.233,2.2878,1.2955,7.9997,9.8798,11675,4.895,65.706,1470.4301,17.315,3.979,1.5943,55.729,1.6415,40.22,10.282,1,4.6584,55.05,135.66,2.2227,5.4669,1.9458,2.4774,103.576,0.4752,1616.08,1.619,8.7031,1.2631,9.4108,10707,2.4393,633.281,2316.8999,634.3,1.24,107.54,217.63,48.51,96.47,7.627,21.7136,2.2853,2.1068,36.873,9098.7998,9.7381,23.669,50.247,1452.4,14069.2002,158.12,107.71,0.8912,108.53,5061.5,0.3533,1.0214,185.5,9939.5996,9,144.25,10.1154,1.5259,10.762,14.7831,2815.8701,60.88,8.0028,9.9617,361.42,36,19.537,204.665,10.1154,202.82,28.72,103.752,0.487,1.2449,3.3396,2.5815,114.61,5680.5,4.6146,103.651,748.94,4.7521,16.605,3.3498,2027.6,24113.0996,10.87,71.564,10.1454,1.933,7.9656,37.0755,1977.95,10.0725,3073,24.166,2251.23,5.4429,26310,642.957,3.8784,642.957,116.86
2012-01-13,1.2821,98.439,1.9459,25.544,7.4367,0.8356,307.89,3.4521,0.6972,4.4063,4.343,8.8726,1.2101,7.7033,7.5422,39.3578,2.3768,1.24,2.2821,1.3051,8.0468,9.958,11696,4.913,66.033,1481.17,17.429,4.0225,1.6145,56.25,1.6529,40.689,10.3191,1,4.705,55.42,135.49,2.2227,5.5213,1.9458,2.5011,104.103,0.4803,1666.5699,1.6188,8.7416,1.2686,9.359,10741,2.4826,626.39,2310.8,635.51,1.246,108.02,218.59,48.659,96.393,7.714,21.8094,2.3147,2.1383,37.068,9141.7998,9.7882,23.793,50.468,1458.8199,14143.9004,158.49,108.191,0.9004,110.33,5089.6001,0.3569,1.0323,186.13,9990.0996,1925,145.65,9.9957,1.5327,10.785,14.9649,2819.99,61.327,8.0382,10.0057,363.2,36.42,19.4,205.177,9.9957,203.72,28.85,103.622,0.4919,1.2502,3.3551,2.5802,114,5740.7002,4.6624,104.112,754.16,4.8061,16.682,3.3645,2032.8,24300,10.919,71.88,10.0261,1.9233,8.039,37.2378,1994.3,10.1154,3050.8,24.209,2261.1299,5.4993,26431,642.957,3.8784,642.957,116.86
2012-01-14,1.2821,98.439,1.9459,25.544,7.4367,0.8356,307.89,3.4521,0.6972,4.4063,4.343,8.8726,1.2101,7.7033,7.5422,39.3578,2.3768,1.24,2.2821,1.3051,8.0468,9.958,11696,4.913,66.033,1481.17,17.429,4.0225,1.6145,56.25,1.6529,40.689,10.3191,1,4.705,55.42,135.49,2.2227,5.5213,1.9458,2.5011,104.103,0.4803,1666.5699,1.6188,8.7416,1.2686,9.359,10741,2.4826,626.39,2310.8,635.51,1.246,108.02,218.59,48.659,96.393,7.714,21.8094,2.3147,2.1383,37.068,9141.7998,9.7882,23.793,50.468,1458.8199,14143.9004,158.49,108.191,0.9004,110.33,5089.6001,0.3569,1.0323,186.13,9990.0996,1925,145.65,9.9957,1.5327,10.785,14.9649,2819.99,61.327,8.0382,10.0057,363.2,36.42,19.4,205.177,9.9957,203.72,28.85,103.622,0.4919,1.2502,3.3551,2.5802,114,5740.7002,4.6624,104.112,754.16,4.8061,16.682,3.3645,2032.8,24300,10.919,71.88,10.0261,1.9233,8.039,37.2378,1994.3,10.1154,3050.8,24.209,2261.1299,5.4993,26431,642.957,3.8784,642.957,116.86
2012-01-15,1.2821,98.439,1.9459,25.544,7.4367,0.8356,307.89,3.4521,0.6972,4.4063,4.343,8.8726,1.2101,7.7033,7.5422,39.3578,2.3768,1.24,2.2821,1.3051,8.0468,9.958,11696,4.913,66.033,1481.17,17.429,4.0225,1.6145,56.25,1.6529,40.689,10.3191,1,4.705,55.42,135.49,2.2227,5.5213,1.9458,2.5011,104.103,0.4803,1666.5699,1.6188,8.7416,1.2686,9.359,10741,2.4826,626.39,2310.8,635.51,1.246,108.02,218.59,48.659,96.393,7.714,21.8094,2.3147,2.1383,37.068,9141.7998,9.7882,23.793,50.468,1458.8199,14143.9004,158.49,108.191,0.9004,110.33,5089.6001,0.3569,1.0323,186.13,9990.0996,1925,145.65,9.9957,1.5327,10.785,14.9649,2819.99,61.327,8.0382,10.0057,363.2,36.42,19.4,205.177,9.9957,203.72,28.85,103.622,0.4919,1.2502,3.3551,2.5802,114,5740.7002,4.6624,104.112,754.16,4.8061,16.682,3.3645,2032.8,24300,10.919,71.88,10.0261,1.9233,8.039,37.2378,1994.3,10.1154,3050.8,24.209,2261.1299,5.4993,26431,642.957,3.8784,642.957,116.86
2012-01-16,1.2647,97.301,1.9482,25.553,7.4357,0.8263,310.03,3.4033,0.6901,4.4115,4.3387,8.8642,1.2071,7.6703,7.5457,39.5895,2.355,1.23,2.2709,1.2951,7.991,9.8222,11480,4.8401,65.212,1458.78,17.254,3.9715,1.594,55.352,1.6355,40.324,10.318,1,4.6568,55.41,135.62,2.2227,5.4644,1.9458,2.4938,103.756,0.4753,1626.76,1.6236,8.6075,1.2713,9.401,10688,2.4555,625.981,2300.8,632.76,1.248,108.25,219.07,48.958,95.256,7.639,21.9074,2.2658,2.1558,36.99,9369.4004,9.8027,23.845,50.579,1462.03,14162.7998,158.73,108.23,0.8906,108.69,5093.1001,0.3539,1.0282,186.46,10005.7998,1884.5,144.21,10.0639,1.536,10.778,14.9309,2802.53,61.044,8.0559,10.027,363.71,35.89,19.618,206.613,10.0639,204.03,28.918,103.817,0.4869,1.253,3.3612,2.5859,115.67,5756.6001,4.6153,104.65,753.9,4.7516,16.501,3.3719,2041.1,24257.3008,10.943,72.038,10.094,1.9392,8.0183,37.317,1992.27,10.1132,3052.3,24.327,2266.0801,5.4405,26488,642.957,3.8784,642.957,116.86
2012-01-17,1.2667,97.299,1.9459,25.602,7.4351,0.8266,312.81,3.4521,0.6978,4.3972,4.3322,8.8416,1.2103,7.6671,7.5484,39.2298,2.344,1.2275,2.2555,1.2891,7.996,9.8381,11546,4.8799,65.023,1458.66,17.159,3.9751,1.5943,55.524,1.6351,40.34,10.2496,1,4.6534,55.07,135.64,2.2227,5.4595,1.9458,2.4826,104.158,0.475,1611.23,1.6103,8.5501,1.2593,9.3754,10587,2.4174,622.632,2282,625.1,1.236,107.6,216.98,48.332,96.584,7.63,21.6488,2.2918,2.1492,37.269,9280.5996,9.7044,23.617,50.095,1448.03,14085.0996,158.62,107.456,0.8778,108.35,5203.2998,0.3534,1.0247,184.89,9899.4004,1866.4,144.11,10.0562,1.5213,10.7371,14.807,2802.3401,61.174,7.9786,9.9317,360.23,36.68,19.618,203.673,10.0562,202.06,28.646,102.365,0.4866,1.2411,3.3314,2.5609,115.67,5723.5,4.6128,104.464,746.68,4.75,16.45,3.3398,2020.3,23975.5996,10.838,71.349,10.0874,1.935,7.9796,37.0523,1974.55,10.0176,3023.2,24.03,2244.48,5.4384,26215,642.957,3.8784,642.957,116.86
2012-01-18,1.2746,97.9,1.9456,25.598,7.435,0.8307,308.79,3.4521,0.6982,4.3563,4.3335,8.8173,1.2094,7.6882,7.5514,39.286,2.3453,1.2274,2.2605,1.2931,8.0331,9.8942,11565,4.8923,64.538,1455.9,17.14,3.9761,1.591,55.443,1.6356,40.4,10.2321,1,4.6786,55.54,135.29,2.2227,5.4956,1.9458,2.5038,105.3,0.4776,1624.95,1.6142,8.6234,1.2699,9.3833,10650,2.438,620.045,2304,630.32,1.247,108.52,218.83,48.744,96.683,7.678,21.8327,2.2792,2.1885,37.587,9359.0996,9.7681,23.819,50.523,1460.4,14194.9004,159.02,108.371,0.8946,108.28,5089.2998,0.3552,1.0334,186.42,9995.7998,1914,144.89,10.0307,1.5343,10.776,14.8855,2813.45,61.114,8.0469,10.0152,364.58,36.34,19.432,205.386,10.045,204.85,28.902,101.959,0.4892,1.2517,3.3581,2.5719,114.22,5772.5,4.6352,104.532,753.06,4.7783,16.833,3.3681,2037.5,24326.0996,10.93,71.958,10.0607,1.9415,8.0158,37.2712,2002.8199,10.139,3028.5,24.363,2263.5601,5.4658,26438,642.957,3.8784,642.957,116.86
2012-01-19,1.2866,98.758,1.9459,25.495,7.4361,0.8336,304.54,3.4521,0.6983,4.3397,4.344,8.7991,1.2078,7.6773,7.5556,39.4384,2.3563,1.2344,2.2651,1.301,8.0808,9.9829,11555,4.8915,64.717,1459.86,17.092,3.9952,1.601,55.541,1.6423,40.64,10.228,1,4.7082,55.8,135.43,2.2227,5.5341,1.9458,2.5026,105.658,0.4803,1632.46,1.616,8.6378,1.2757,9.4195,10686,2.4641,624.464,2306.6001,634.98,1.253,108.83,219.84,49.065,97.433,7.714,21.933,2.3047,2.2133,38.018,9183.9004,9.7602,23.929,50.757,1467.04,14258,159.18,108.865,0.8999,108.5,5125.7002,0.3566,1.0318,187.1,10037.2998,1925,145.74,10.0791,1.5414,10.798,14.9353,2832.23,61.204,8.0842,10.0565,367.55,35.68,19.631,206.773,10.0791,204.6,29.039,101.698,0.492,1.2579,3.3743,2.584,115.18,5802.5,4.665,105.071,758.47,4.8095,16.74,3.3837,2048.2,24265,10.981,72.291,10.1091,1.9504,8.0465,37.4553,2009.49,10.1819,3039.8999,24.541,2279.3899,5.515,26447,642.957,3.8784,642.957,116.86
2012-01-20,1.2965,99.899,1.9457,25.266,7.4359,0.8369,303.64,3.4521,0.6982,4.3018,4.3429,8.75,1.2086,7.6575,7.5619,39.56,2.3669,1.2442,2.2758,1.3111,8.1588,10.0583,11344.4004,4.895,65.212,1465.48,17.105,4.0137,1.614,56.042,1.6489,40.0138,10.2554,1,4.7498,55.8,135.43,2.2227,5.5831,1.9458,2.5026,106.751,0.4845,1632.46,1.616,8.8454,1.2757,9.4195,10737,2.4641,624.464,2306.6001,634.98,1.253,108.83,219.84,49.266,96.5346,7.79,21.933,2.2605,2.2357,38.018,9232.7998,9.8305,23.929,50.757,1467.04,14345.7998,159.59,108.865,0.909,109.47,5156.8999,0.36,1.0318,187.1,10092.2002,1943,143.51,10.0169,1.5508,10.804,15.0085,2832.23,61.785,8.1334,10.1189,367.55,37.0653,19.792,206.773,10.003,204.6,29.039,101.698,0.4828,1.2653,3.3956,2.5893,115.88,5802.5,4.7076,105.146,758.47,4.7641,17.812,3.4041,2048.2,24265,10.981,72.291,10.0493,1.9422,8.1018,37.6111,2009.49,10.1819,3039.8999,24.541,2279.3899,5.5499,26568,642.957,3.8784,642.957,116.86
2012-01-21,1.2965,99.899,1.9457,25.266,7.4359,0.8369,303.64,3.4521,0.6982,4.3018,4.3429,8.75,1.2086,7.6575,7.5619,39.56,2.3669,1.2442,2.2758,1.3111,8.1588,10.0583,11344.4004,4.895,65.212,1465.48,17.105,4.0137,1.614,56.042,1.6489,40.0138,10.2554,1,4.7498,55.8,135.43,2.2227,5.5831,1.9458,2.5026,106.751,0.4845,1632.46,1.616,8.8454,1.2757,9.4195,10737,2.4641,624.464,2306.6001,634.98,1.253,108.83,219.84,49.266,96.5346,7.79,21.933,2.2605,2.2357,38.018,9232.7998,9.8305,23.929,50.757,1467.04,14345.7998,159.59,108.865,0.909,109.47,5156.8999,0.36,1.0318,187.1,10092.2002,1943,143.51,10.0169,1.5508,10.804,15.0085,2832.23,61.785,8.1334,10.1189,367.55,37.0653,19.792,206.773,10.003,204.6,29.039,101.698,0.4828,1.2653,3.3956,2.5893,115.88,5802.5,4.7076,105.146,758.47,4.7641,17.812,3.4041,2048.2,24265,10.981,72.291,10.0493,1.9422,8.1018,37.6111,2009.49,10.1819,3039.8999,24.541,2279.3899,5.5499,26568,642.957,3.8784,642.957,116.86
2012-01-22,1.2965,99.899,1.9457,25.266,7.4359,0.8369,303.64,3.4521,0.6982,4.3018,4.3429,8.75,1.2086,7.6575,7.5619,39.56,2.3669,1.2442,2.2758,1.3111,8.1588,10.0583,11344.4004,4.895,65.212,1465.48,17.105,4.0137,1.614,56.042,1.6489,40.0138,10.2554,1,4.7498,55.8,135.43,2.2227,5.5831,1.9458,2.5026,106.751,0.4845,1632.46,1.616,8.8454,1.2757,9.4195,10737,2.4641,624.464,2306.6001,634.98,1.253,108.83,219.84,49.266,96.5346,7.79,21.933,2.2605,2.2357,38.018,9232.7998,9.8305,23.929,50.757,1467.04,14345.7998,159.59,108.865,0.909,109.47,5156.8999,0.36,1.0318,187.1,10092.2002,1943,143.51,10.0169,1.5508,10.804,15.0085,2832.23,61.785,8.1334,10.1189,367.55,37.0653,19.792,206.773,10.003,204.6,29.039,101.698,0.4828,1.2653,3.3956,2.5893,115.88,5802.5,4.7076,105.146,758.47,4.7641,17.812,3.4041,2048.2,24265,10.981,72.291,10.0493,1.9422,8.1018,37.6111,2009.49,10.1819,3039.8999,24.541,2279.3899,5.5499,26568,642.957,3.8784,642.957,116.86
2012-01-23,1.2885,99.184,1.9485,25.444,7.4356,0.829,303.38,3.4516,0.6977,4.3094,4.2432,8.7646,1.2075,7.6528,7.5648,39.4602,2.3612,1.231,2.2563,1.308,8.186,9.9992,11312.5996,4.8727,65.024,1466.01,16.8431,4.0185,1.6004,55.833,1.6406,39.925,10.2415,1,4.6696,56.07,135.42,2.2227,5.5901,1.9458,2.5308,106.303,0.4735,1642.42,1.6227,8.7167,1.2834,9.4269,10699,2.4643,620.425,2306.5,640.36,1.26,108.52,221.19,49.268,98.229,7.6447,22.0662,2.2463,2.2235,37.863,9233.0996,9.8232,24.095,51.068,1472.28,14346.4004,159.83,109.536,0.9087,109.32,5157.1001,0.3485,1.0446,188.42,10086.0996,1902.7,143.496,10.0662,1.5509,10.81,14.9816,2816.6201,61.101,8.1337,10.1167,368.51,36.9378,19.792,210.33,10.0662,204.3,29.224,102.203,0.4969,1.265,3.3925,2.5889,116.27,5851,4.5486,104.32,763.11,4.8501,17.7886,3.4043,2056.8999,24187,11.048,72.733,10.0961,1.9455,8.1021,37.6539,2024.3199,10.2251,3045.5,24.498,2293.28,5.5538,26531,642.957,3.8784,642.957,116.86
